,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y15B02P13DM,Y15B02P13DM,dead_bryos,Y15,B02,P13,B02P13,B02P13DM,Y15B02P13,Y15DM,15B02P13DMOS37
Y15B02P13LM,Y15B02P13LM,live_bryos,Y15,B02,P13,B02P13,B02P13LM,Y15B02P13,Y15LM,15B02P13LMOS127
Y15B02P13WD,Y15B02P13WD,inner_bark,Y15,B02,P13,B02P13,B02P13WD,Y15B02P13,Y15WD,15B02P13MSCS26
Y15B02P14BK,Y15B02P14BK,outer_bark,Y15,B02,P14,B02P14,B02P14BK,Y15B02P14,Y15BK,15B02P14BRKS90
Y15B02P14LM,Y15B02P14LM,live_bryos,Y15,B02,P14,B02P14,B02P14LM,Y15B02P14,Y15LM,15B02P14LMOS126
Y15B02P15BK,Y15B02P15BK,outer_bark,Y15,B02,P15,B02P15,B02P15BK,Y15B02P15,Y15BK,15B02P15BRKS91
Y15B02P15DM,Y15B02P15DM,dead_bryos,Y15,B02,P15,B02P15,B02P15DM,Y15B02P15,Y15DM,15B02P15DMOS38
Y15B02P15LM,Y15B02P15LM,live_bryos,Y15,B02,P15,B02P15,B02P15LM,Y15B02P15,Y15LM,15B02P15LMOS125
Y15B02P20BK,Y15B02P20BK,outer_bark,Y15,B02,P20,B02P20,B02P20BK,Y15B02P20,Y15BK,15B02P20BRKS118
Y15B02P20DM,Y15B02P20DM,dead_bryos,Y15,B02,P20,B02P20,B02P20DM,Y15B02P20,Y15DM,15B02P20DMOS42
Y15B02P20LM,Y15B02P20LM,live_bryos,Y15,B02,P20,B02P20,B02P20LM,Y15B02P20,Y15LM,15B02P20LMOS120
Y15B02P24BK,Y15B02P24BK,outer_bark,Y15,B02,P24,B02P24,B02P24BK,Y15B02P24,Y15BK,15B02P24BRKS100
Y15B02P24DM,Y15B02P24DM,dead_bryos,Y15,B02,P24,B02P24,B02P24DM,Y15B02P24,Y15DM,15B02P24DMOS46
Y15B02P24LM,Y15B02P24LM,live_bryos,Y15,B02,P24,B02P24,B02P24LM,Y15B02P24,Y15LM,15B02P24LMOS116
