,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu7133,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,
Otu10056,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,
Otu11314,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,
Otu10618,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,
Otu11288,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,
Otu11468,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Angustimassarina,
Otu10221,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Vermispora,
Otu10296,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Microbotryomycetes_fam_Incertae_sedis,Colacogloea,
Otu11002,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,
Otu11432,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Eriosporella,
Otu10245,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Pannariaceae,Pectenia,
Otu11091,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,
Otu11136,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,
Otu10174,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Flavodon,
Otu11340,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arbusculina,
Otu10601,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Neopestalotiopsis,
Otu10996,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,
Otu10715,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,
Otu11108,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufia,
Otu10857,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Schizoporaceae,Xylodon,
Otu11362,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Polyscytalum,
Otu10514,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Prosthemium,
Otu11321,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,
Otu10956,Fungi,Ascomycota,Dothideomycetes,Hysteriales,unidentified,unidentified,
Otu10730,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Heterodermia,
Otu10486,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,
Otu10370,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,unidentified,
Otu11287,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,
Otu11431,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,
Otu10412,Fungi,Basidiomycota,Pucciniomycetes,Platygloeales,Eocronartiaceae,Eocronartium,
Otu10808,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,
Otu10438,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Microcera,
Otu11439,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,unidentified,
Otu10163,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,
Otu11306,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,Biatriospora_mackinnonii
Otu10942,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Ophioceras,Ophioceras_leptosporum
Otu11410,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu10443,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,Acrocalymma_walkeri
Otu10919,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_spinulosum
Otu11054,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_polychromum
Otu10557,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Roussoella,Roussoella_hysterioides
Otu10112,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,Botryobasidium_intertextum
Otu10468,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella_rubra
Otu11388,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,unidentified,unidentified,unidentified
Otu10473,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Dinemasporium,Dinemasporium_ambiguum
Otu10839,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_resinaceum
Otu10534,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Bjerkandera,unidentified
Otu6776,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma,Endoconidioma_populi
Otu10327,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylaria,Dactylaria_fragilis
Otu10880,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Chalara,Chalara_microspora
Otu11043,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Rigidoporus,Rigidoporus_sanguinolentus
Otu10397,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_alternatum
Otu10529,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Alloconiothyrium,Alloconiothyrium_aptrootii
Otu10767,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_helvelloides
Otu10285,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella_lobariacearum
Otu10932,Fungi,Basidiomycota,Pucciniomycetes,Platygloeales,unidentified,unidentified,unidentified
Otu10289,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Volutella,unidentified
Otu10550,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_japonicus
Otu11250,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Echinoderma,Echinoderma_asperum
Otu10578,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,Mariannaea_samuelsii
Otu10551,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium_phragmitis
Otu10011,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Phaeophleospora,Phaeophleospora_hymenocallidicola
Otu11078,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Phialocephala,Phialocephala_sphaeroides
Otu10251,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_summerbellii
Otu11270,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,Septobasidium_griseum
Otu11167,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Sistotrema,Sistotrema_coronilla
Otu10838,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,Thelonectria_diademata
Otu10336,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Gliomastix,unidentified
Otu11156,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,unidentified,unidentified,unidentified
Otu11254,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,unidentified
Otu10138,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,
Otu10584,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Sordariomycetes_fam_Incertae_sedis,,
Otu11405,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,,
Otu11045,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,,
Otu10186,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,,
Otu10646,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,,
Otu11535,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,,
Otu10707,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,,
Otu11341,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,,
Otu10143,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Porinaceae,,
Otu10993,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,,
Otu10935,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,
Otu10627,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
Otu10203,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu11429,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,,
Otu10171,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,
Otu10768,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,
Otu11064,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,
Otu10701,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,
Otu10396,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu10279,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,
Otu11412,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,
Otu10155,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,
Otu10788,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,
Otu10566,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu10274,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,
Otu10803,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,
Otu11354,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,,,
Otu10571,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,
Otu10671,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu10294,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu10847,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,,
Otu11123,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu10710,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu11531,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu11066,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu11481,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu11292,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu11435,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu11234,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
Otu11258,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,
Otu10434,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu11369,Fungi,Ascomycota,Lecanoromycetes,Ostropales,,,
Otu11070,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,
Otu11544,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,,
Otu11309,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu10377,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
Otu11068,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,,
Otu10457,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,,
Otu11044,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu10775,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,,
Otu11061,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,,
Otu11175,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
Otu11117,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,,
Otu10785,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11171,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10161,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10815,Fungi,Ascomycota,Eurotiomycetes,,,,
Otu11460,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10269,Fungi,Ascomycota,Eurotiomycetes,,,,
Otu10931,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10256,Fungi,Ascomycota,Eurotiomycetes,,,,
Otu10676,Fungi,Ascomycota,Dothideomycetes,,,,
Otu11328,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10945,Fungi,Ascomycota,Leotiomycetes,,,,
Otu10602,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10592,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10121,Fungi,Ascomycota,Leotiomycetes,,,,
Otu10059,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10276,Fungi,Ascomycota,Leotiomycetes,,,,
Otu10784,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10535,Fungi,Ascomycota,Dothideomycetes,,,,
Otu10790,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10874,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11325,Fungi,Ascomycota,Leotiomycetes,,,,
Otu11134,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10981,Fungi,Ascomycota,Leotiomycetes,,,,
Otu10506,Fungi,Ascomycota,Dothideomycetes,,,,
Otu10972,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11163,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11144,Fungi,Ascomycota,Dothideomycetes,,,,
Otu11502,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10539,Fungi,Ascomycota,Dothideomycetes,,,,
Otu11170,Fungi,Ascomycota,Eurotiomycetes,,,,
Otu10814,Fungi,Ascomycota,Saccharomycetes,,,,
Otu10962,Fungi,Ascomycota,Dothideomycetes,,,,
Otu10813,Fungi,Ascomycota,Dothideomycetes,,,,
Otu11477,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11419,Fungi,Ascomycota,Leotiomycetes,,,,
Otu11500,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10472,Fungi,Ascomycota,Lecanoromycetes,,,,
Otu10842,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10057,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
Otu11493,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10921,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
Otu10723,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10864,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu11217,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu11505,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10821,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,
Otu11371,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu10818,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu11389,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu11395,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,
Otu11454,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10744,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu10804,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10117,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu11483,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu10480,Fungi,Basidiomycota,,,,,
Otu10595,Fungi,Basidiomycota,,,,,
Otu11476,Fungi,Ascomycota,,,,,
Otu11302,Fungi,Basidiomycota,,,,,
Otu10725,Fungi,Ascomycota,,,,,
Otu10368,Fungi,Ascomycota,,,,,
Otu10503,Fungi,Ascomycota,,,,,
Otu10467,Fungi,Basidiomycota,,,,,
Otu10406,Fungi,Ascomycota,,,,,
Otu10476,Fungi,Ascomycota,,,,,
Otu10754,Fungi,Ascomycota,,,,,
Otu10013,Fungi,Ascomycota,,,,,
Otu10906,Fungi,Ascomycota,,,,,
Otu10695,Fungi,Basidiomycota,,,,,
Otu11434,Fungi,Ascomycota,,,,,
Otu10045,Fungi,Ascomycota,,,,,
Otu10212,Fungi,Ascomycota,,,,,
Otu10401,Fungi,Ascomycota,,,,,
Otu10166,Fungi,Ascomycota,,,,,
Otu11276,Fungi,Ascomycota,,,,,
Otu11390,Fungi,Basidiomycota,,,,,
Otu10989,Fungi,Ascomycota,,,,,
Otu11042,Fungi,Ascomycota,,,,,
Otu11393,Fungi,Basidiomycota,,,,,
Otu10763,Fungi,Ascomycota,,,,,
Otu10926,Fungi,Ascomycota,,,,,
Otu10755,Fungi,Ascomycota,,,,,
Otu11459,Fungi,Basidiomycota,,,,,
Otu11121,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10234,Fungi,Ascomycota,Sordariomycetes,,,,
Otu11540,Fungi,Basidiomycota,Cystobasidiomycetes,,,,
Otu10905,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10017,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10331,Fungi,Ascomycota,Sordariomycetes,,,,
Otu11443,Fungi,Ascomycota,Sordariomycetes,,,,
Otu11489,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10043,Fungi,Ascomycota,Leotiomycetes,,,,
Otu10682,Fungi,Ascomycota,Sordariomycetes,,,,
Otu11448,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10508,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11463,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10642,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10181,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10635,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10970,Fungi,Ascomycota,Sordariomycetes,,,,
Otu10597,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu10689,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11497,Fungi,,,,,,
Otu10074,Fungi,,,,,,
Otu10070,Fungi,,,,,,
Otu10953,Fungi,,,,,,
Otu11289,Fungi,,,,,,
Otu11545,Fungi,,,,,,
Otu11298,Fungi,,,,,,
Otu10096,Fungi,,,,,,
Otu10613,Fungi,,,,,,
Otu10722,Fungi,,,,,,
Otu10510,Fungi,,,,,,
Otu10552,Fungi,,,,,,
Otu10247,Fungi,,,,,,
Otu11095,Fungi,,,,,,
Otu10395,Fungi,,,,,,
Otu10507,Fungi,,,,,,
Otu10661,Fungi,,,,,,
Otu11173,Fungi,,,,,,
Otu11030,Fungi,,,,,,
Otu10071,Fungi,,,,,,
Otu11212,Fungi,Ascomycota,,,,,
Otu11326,Fungi,Ascomycota,,,,,
Otu10978,Fungi,Ascomycota,,,,,
Otu11082,Fungi,Ascomycota,,,,,
Otu11216,Fungi,Ascomycota,,,,,
Otu10605,Fungi,Ascomycota,,,,,
Otu11507,Fungi,Ascomycota,,,,,
Otu11307,Fungi,Basidiomycota,,,,,
Otu11272,Fungi,Basidiomycota,,,,,
Otu10398,Fungi,Ascomycota,,,,,
Otu10568,Fungi,Ascomycota,,,,,
Otu11387,Fungi,Ascomycota,,,,,
Otu10826,Fungi,Ascomycota,,,,,
Otu11452,Fungi,Ascomycota,,,,,
Otu11522,Fungi,Basidiomycota,,,,,
Otu11081,Fungi,Ascomycota,,,,,
Otu11310,Fungi,Ascomycota,,,,,
Otu11386,Fungi,Ascomycota,,,,,
Otu10172,Fungi,Ascomycota,,,,,
Otu11160,Fungi,Ascomycota,,,,,
Otu11149,Fungi,Ascomycota,,,,,
Otu11479,Fungi,Ascomycota,,,,,
Otu10047,Fungi,Ascomycota,,,,,
Otu11007,Fungi,Ascomycota,,,,,
Otu11418,Fungi,Ascomycota,,,,,
Otu10016,Fungi,Ascomycota,,,,,
Otu10415,Fungi,Ascomycota,,,,,
Otu10475,Fungi,Ascomycota,,,,,
Otu10581,Fungi,Ascomycota,,,,,
Otu10898,Fungi,Ascomycota,,,,,
Otu11246,Fungi,Ascomycota,,,,,
Otu11319,Fungi,Ascomycota,,,,,
Otu11453,Fungi,Basidiomycota,,,,,
Otu10435,Fungi,Ascomycota,,,,,
Otu10575,Fungi,Ascomycota,,,,,
Otu10819,Fungi,Ascomycota,,,,,
Otu11092,Fungi,Ascomycota,,,,,
Otu10217,Fungi,Ascomycota,,,,,
Otu10280,Fungi,Ascomycota,,,,,
Otu10498,Fungi,Ascomycota,,,,,
Otu10526,Fungi,Ascomycota,,,,,
Otu10870,Fungi,Ascomycota,,,,,
Otu11228,Fungi,Ascomycota,,,,,
Otu10845,Fungi,Ascomycota,,,,,
Otu10927,Fungi,Ascomycota,,,,,
Otu11207,Fungi,Ascomycota,,,,,
Otu11373,Fungi,Ascomycota,,,,,
Otu11450,Fungi,Ascomycota,,,,,
Otu11100,Fungi,,,,,,
Otu11230,Fungi,,,,,,
Otu11455,Fungi,,,,,,
Otu10022,Fungi,,,,,,
Otu10108,Fungi,,,,,,
Otu10233,Fungi,,,,,,
Otu10250,Fungi,,,,,,
Otu10265,Fungi,,,,,,
Otu10333,Fungi,,,,,,
Otu10386,Fungi,,,,,,
Otu10462,Fungi,,,,,,
Otu10538,Fungi,,,,,,
Otu10579,Fungi,,,,,,
Otu10598,Fungi,,,,,,
Otu10716,Fungi,,,,,,
Otu10733,Fungi,,,,,,
Otu10817,Fungi,,,,,,
Otu11166,Fungi,,,,,,
Otu11187,Fungi,,,,,,
Otu11335,Fungi,,,,,,
Otu11486,Fungi,,,,,,
Otu11508,Fungi,,,,,,
Otu9385,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Fusicladium,
Otu9296,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Hyalorbilia,
Otu11148,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,unidentified,
Otu9225,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,
Otu11402,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,unidentified,
Otu11532,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,unidentified,unidentified,
Otu9195,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,
Otu9592,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,Antrodiella,
Otu11087,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,unidentified,
Otu9771,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,
Otu10260,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,unidentified,
Otu11440,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Anthostomella,
Otu10976,Fungi,Ascomycota,Sordariomycetes,Xylariales,Pseudomassariaceae,Pseudapiospora,
Otu10229,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,
Otu11512,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,
Otu9945,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Anthostomella,
Otu9346,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,
Otu9982,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Calloria,
Otu10585,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,unidentified,unidentified,
Otu10563,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,
Otu11473,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,
Otu10469,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora,
Otu10512,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,
Otu11174,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,
Otu10026,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,
Otu10390,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,
Otu9939,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,
Otu9856,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,
Otu9786,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Tetraplosphaeriaceae,Tetraplosphaeria,
Otu11417,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,
Otu11312,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Slopeiomyces,
Otu11089,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylaria,
Otu10939,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Dendryphiella,
Otu10620,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Rosellinia,
Otu10483,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Schizoparmaceae,Coniella,
Otu10855,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,
Otu9548,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Burgella,
Otu10271,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_Incertae_sedis,Peniophorella,
Otu10654,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Stagonospora,
Otu10392,Fungi,Ascomycota,Sordariomycetes,Sordariales,Cephalothecaceae,Cephalotheca,
Otu10890,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Cryptobasidiaceae,Clinoconidium,
Otu9373,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,
Otu10892,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,
Otu11259,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_chaetospira
Otu9512,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_carneum
Otu9769,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_badia
Otu9895,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,unidentified
Otu11342,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,unidentified,unidentified
