BP,substrate,BPS,years,temp.dist,BC.dist,jac.dist,beta.sim,beta.sne,beta.sor,beta.jtu,beta.jne,beta.jac
B03P13,dead_bryos,B03P13DM,Y1617,1,0.662939043,0.843582888,0.530120482,0.199359287,0.729479769,0.692913386,0.150669502,0.843582888
B03P14,dead_bryos,B03P14DM,Y1617,1,0.835649146,0.856581532,0.455223881,0.293917013,0.749140893,0.625641026,0.230940507,0.856581532
B03P15,dead_bryos,B03P15DM,Y1617,1,0.643412912,0.923611111,0.463414634,0.394649882,0.858064516,0.633333333,0.290277778,0.923611111
B03P20,dead_bryos,B03P20DM,Y1617,1,0.927402763,0.887596899,0.735159817,0.06274959,0.797909408,0.847368421,0.040228478,0.887596899
B03P24,dead_bryos,B03P24DM,Y1617,1,0.75506821,0.811746988,0.6105919,0.072551319,0.683143219,0.758220503,0.053526485,0.811746988
B03P26,dead_bryos,B03P26DM,Y1617,1,0.833151225,0.791836735,0.511182109,0.144223297,0.655405405,0.67653277,0.115303965,0.791836735
B04P01,dead_bryos,B04P01DM,Y1617,1,0.812985151,0.945488722,0.591549296,0.305063895,0.896613191,0.743362832,0.20212589,0.945488722
B04P04,dead_bryos,B04P04DM,Y1617,1,0.843832277,0.92699115,0.576923077,0.286994449,0.863917526,0.731707317,0.195283833,0.92699115
B04P08,dead_bryos,B04P08DM,Y1617,1,0.621009794,0.814193548,0.637279597,0.04933629,0.686615887,0.778461538,0.03573201,0.814193548
B04P13,dead_bryos,B04P13DM,Y1617,1,0.527035058,0.801578354,0.581947743,0.086913969,0.668861712,0.735735736,0.065842618,0.801578354
B04P14,dead_bryos,B04P14DM,Y1617,1,0.843895948,0.865384615,0.724409449,0.038302416,0.762711864,0.840182648,0.025201967,0.865384615
B04P20,dead_bryos,B04P20DM,Y1617,1,0.922661322,0.875831486,0.44278607,0.336306633,0.779092702,0.613793103,0.262038382,0.875831486
B04P25,dead_bryos,B04P25DM,Y1617,1,0.937022034,0.820349762,0.673410405,0.022007385,0.69541779,0.804835924,0.015513838,0.820349762
B04P26,dead_bryos,B04P26DM,Y1617,1,0.496130869,0.958165728,0.306666667,0.613024453,0.91969112,0.469387755,0.488777973,0.958165728
B05P01,dead_bryos,B05P01DM,Y1617,1,0.963618437,0.937275986,0.401709402,0.480246753,0.881956155,0.573170732,0.364105254,0.937275986
B05P02,dead_bryos,B05P02DM,Y1617,1,0.778038785,0.767908309,0.617021277,0.006234537,0.623255814,0.763157895,0.004750415,0.767908309
B05P03,dead_bryos,B05P03DM,Y1617,1,0.890554304,0.818908123,0.615819209,0.077529156,0.693348365,0.762237762,0.05667036,0.818908123
B05P04,dead_bryos,B05P04DM,Y1617,1,0.757255606,0.738839286,0.535714286,0.050126422,0.585840708,0.697674419,0.041164867,0.738839286
B05P08,dead_bryos,B05P08DM,Y1617,1,0.886883392,0.871523179,0.607287449,0.16501302,0.772300469,0.755667506,0.115855673,0.871523179
B05P13,dead_bryos,B05P13DM,Y1617,1,0.800672187,0.799256506,0.651612903,0.014021772,0.665634675,0.7890625,0.010194006,0.799256506
B05P14,dead_bryos,B05P14DM,Y1617,1,0.647072776,0.725788901,0.501976285,0.067622349,0.569598634,0.668421053,0.057367848,0.725788901
B05P15,dead_bryos,B05P15DM,Y1617,1,0.570472967,0.75124792,0.421663443,0.179935491,0.601598934,0.593197279,0.158050641,0.75124792
B05P20,dead_bryos,B05P20DM,Y1617,1,0.7397384,0.823463687,0.476821192,0.223083841,0.699905033,0.64573991,0.177723777,0.823463687
B05P24,dead_bryos,B05P24DM,Y1617,1,0.458082537,0.770053476,0.490521327,0.13556563,0.626086957,0.658187599,0.111865877,0.770053476
B05P25,dead_bryos,B05P25DM,Y1617,1,0.456687295,0.747563353,0.579545455,0.017341705,0.59688716,0.73381295,0.013750403,0.747563353
B05P26,dead_bryos,B05P26DM,Y1617,1,0.443666334,0.769480519,0.601123596,0.02420622,0.625329815,0.750877193,0.018603326,0.769480519
B03P15,inner_bark,B03P15WD,Y1617,1,0.957340263,0.971223022,NA,NA,NA,NA,NA,NA
B03P27,inner_bark,B03P27WD,Y1617,1,0.823698381,0.864864865,NA,NA,NA,NA,NA,NA
B05P01,inner_bark,B05P01WD,Y1617,1,0.990839439,0.925925926,NA,NA,NA,NA,NA,NA
B05P02,inner_bark,B05P02WD,Y1617,1,0.930829944,0.863247863,NA,NA,NA,NA,NA,NA
B05P03,inner_bark,B05P03WD,Y1617,1,0.999943103,0.9375,NA,NA,NA,NA,NA,NA
B05P04,inner_bark,B05P04WD,Y1617,1,0.895753438,0.973684211,NA,NA,NA,NA,NA,NA
B05P13,inner_bark,B05P13WD,Y1617,1,0.992828311,0.953608247,NA,NA,NA,NA,NA,NA
B03P01,live_bryos,B03P01LM,Y1617,1,0.78683814,0.883468835,0.3307393,0.460522836,0.791262136,0.497076023,0.386392811,0.883468835
B03P08,live_bryos,B03P08LM,Y1617,1,0.867149393,0.822372881,0.491262136,0.207068319,0.698330455,0.658854167,0.163518715,0.822372881
B03P13,live_bryos,B03P13LM,Y1617,1,0.789593342,0.752385736,0.51476378,0.088295802,0.603059581,0.679662118,0.072723618,0.752385736
B03P14,live_bryos,B03P14LM,Y1617,1,0.934199676,0.865030675,0.760869565,0.001292597,0.762162162,0.864197531,0.000833144,0.865030675
B03P15,live_bryos,B03P15LM,Y1617,1,0.783630533,0.862208713,0.466666667,0.291124963,0.75779163,0.636363636,0.225845077,0.862208713
B03P24,live_bryos,B03P24LM,Y1617,1,0.766271354,0.841176471,0.641196013,0.084692312,0.725888325,0.781376518,0.059799952,0.841176471
B03P25,live_bryos,B03P25LM,Y1617,1,0.770253759,0.80445151,0.628398792,0.044473549,0.67287234,0.771799629,0.032651881,0.80445151
B03P26,live_bryos,B03P26LM,Y1617,1,0.85756839,0.908602151,0.617977528,0.214534787,0.832512315,0.763888889,0.144713262,0.908602151
B03P27,live_bryos,B03P27LM,Y1617,1,0.876117158,0.902222222,0.738095238,0.08376711,0.821862348,0.849315068,0.052907154,0.902222222
B04P02,live_bryos,B04P02LM,Y1617,1,0.812939449,0.899563319,0.752688172,0.064772145,0.817460317,0.858895706,0.040667613,0.899563319
B04P04,live_bryos,B04P04LM,Y1617,1,0.908789726,0.941666667,0.8,0.08976378,0.88976378,0.888888889,0.052777778,0.941666667
B04P08,live_bryos,B04P08LM,Y1617,1,0.694286043,0.82330468,0.617768595,0.08190673,0.699675325,0.763729246,0.059575434,0.82330468
B04P13,live_bryos,B04P13LM,Y1617,1,0.774084722,0.772401434,0.567291312,0.061905769,0.62919708,0.723913043,0.04848839,0.772401434
B04P20,live_bryos,B04P20LM,Y1617,1,0.76423732,0.754597701,0.483050847,0.122855936,0.605906784,0.651428571,0.10316913,0.754597701
B04P25,live_bryos,B04P25LM,Y1617,1,0.937549682,0.861111111,0.733606557,0.022491004,0.756097561,0.846335697,0.014775414,0.861111111
B05P01,live_bryos,B05P01LM,Y1617,1,0.95784746,0.931937173,0.821917808,0.050631211,0.87254902,0.902255639,0.029681534,0.931937173
B05P13,live_bryos,B05P13LM,Y1617,1,0.715239805,0.852848101,0.7,0.043448276,0.743448276,0.823529412,0.02931869,0.852848101
B05P15,live_bryos,B05P15LM,Y1617,1,0.986515179,0.868965517,0.71641791,0.051874772,0.768292683,0.834782609,0.034182909,0.868965517
B05P20,live_bryos,B05P20LM,Y1617,1,0.806638251,0.793617021,0.588983051,0.068865274,0.657848325,0.741333333,0.052283688,0.793617021
B05P25,live_bryos,B05P25LM,Y1617,1,0.913517917,0.885496183,0.794520548,0,0.794520548,0.885496183,0,0.885496183
B03P01,outer_bark,B03P01BK,Y1617,1,0.482336174,0.753768844,0.577586207,0.027252503,0.60483871,0.732240437,0.021528407,0.753768844
B03P02,outer_bark,B03P02BK,Y1617,1,0.815437654,0.913649025,0.659340659,0.181684982,0.841025641,0.794701987,0.118947038,0.913649025
B03P13,outer_bark,B03P13BK,Y1617,1,0.803483816,0.810897436,0.662857143,0.019083558,0.681940701,0.797250859,0.013646577,0.810897436
B03P14,outer_bark,B03P14BK,Y1617,1,0.707413714,0.763688761,0.575129534,0.042586084,0.617715618,0.730263158,0.033425603,0.763688761
B03P15,outer_bark,B03P15BK,Y1617,1,0.738060975,0.811158798,0.671641791,0.010668678,0.682310469,0.803571429,0.00758737,0.811158798
B03P20,outer_bark,B03P20BK,Y1617,1,0.562689314,0.795876289,0.571428571,0.089530333,0.660958904,0.727272727,0.068603561,0.795876289
B03P24,outer_bark,B03P24BK,Y1617,1,0.850058787,0.862170088,0.678082192,0.079649767,0.757731959,0.808163265,0.054006823,0.862170088
B03P25,outer_bark,B03P25BK,Y1617,1,0.911758154,0.870550162,0.436619718,0.334153921,0.770773639,0.607843137,0.262707025,0.870550162
B03P26,outer_bark,B03P26BK,Y1617,1,0.713904102,0.754658385,0.524096386,0.081888652,0.605985037,0.687747036,0.06691135,0.754658385
B03P27,outer_bark,B03P27BK,Y1617,1,0.82769276,0.820779221,0.646153846,0.049881396,0.696035242,0.785046729,0.035732492,0.820779221
B04P01,outer_bark,B04P01BK,Y1617,1,0.464510787,0.868589744,0.405797101,0.361908281,0.767705382,0.577319588,0.291270156,0.868589744
B04P02,outer_bark,B04P02BK,Y1617,1,0.364934507,0.829516539,0.528169014,0.180526638,0.708695652,0.69124424,0.1382723,0.829516539
B04P04,outer_bark,B04P04BK,Y1617,1,0.683182909,0.868105516,0.485981308,0.280967844,0.766949153,0.65408805,0.214017465,0.868105516
B04P08,outer_bark,B04P08BK,Y1617,1,0.67132569,0.84496124,0.72972973,0.001813894,0.731543624,0.84375,0.00121124,0.84496124
B04P14,outer_bark,B04P14BK,Y1617,1,0.768757145,0.829166667,0.613207547,0.094977506,0.708185053,0.760233918,0.068932749,0.829166667
B04P15,outer_bark,B04P15BK,Y1617,1,0.662341921,0.875661376,0.673611111,0.105212418,0.778823529,0.804979253,0.070682123,0.875661376
B04P20,outer_bark,B04P20BK,Y1617,1,0.606994806,0.836734694,0.703703704,0.015594542,0.719298246,0.826086957,0.010647737,0.836734694
B04P24,outer_bark,B04P24BK,Y1617,1,0.616846909,0.768786127,0.545454545,0.0789586,0.624413146,0.705882353,0.062903774,0.768786127
B04P25,outer_bark,B04P25BK,Y1617,1,0.311294212,0.822966507,0.672566372,0.02662062,0.699186992,0.804232804,0.018733703,0.822966507
B04P26,outer_bark,B04P26BK,Y1617,1,0.820768976,0.752542373,0.596685083,0.006575787,0.60326087,0.747404844,0.005137529,0.752542373
B05P01,outer_bark,B05P01BK,Y1617,1,0.676962102,0.813397129,0.669491525,0.015992346,0.685483871,0.802030457,0.011366672,0.813397129
B05P02,outer_bark,B05P02BK,Y1617,1,0.886550797,0.816608997,0.624113475,0.065945004,0.69005848,0.768558952,0.048050045,0.816608997
B05P03,outer_bark,B05P03BK,Y1617,1,0.903689206,0.797546012,0.661538462,0.001726845,0.663265306,0.796296296,0.001249716,0.797546012
B05P04,outer_bark,B05P04BK,Y1617,1,0.669109303,0.797029703,0.536723164,0.125828276,0.66255144,0.698529412,0.098500291,0.797029703
B05P08,outer_bark,B05P08BK,Y1617,1,0.998970341,0.948616601,0.717391304,0.184864335,0.902255639,0.835443038,0.113173563,0.948616601
B05P13,outer_bark,B05P13BK,Y1617,1,0.844826869,0.91160221,0.428571429,0.408992023,0.837563452,0.6,0.31160221,0.91160221
B05P14,outer_bark,B05P14BK,Y1617,1,0.801317683,0.764705882,0.494736842,0.124310777,0.619047619,0.661971831,0.102734051,0.764705882
B05P15,outer_bark,B05P15BK,Y1617,1,0.667987105,0.779850746,0.593103448,0.046040283,0.639143731,0.744588745,0.035262002,0.779850746
B05P20,outer_bark,B05P20BK,Y1617,1,0.745136589,0.751256281,0.573275862,0.028333796,0.601609658,0.728767123,0.022489158,0.751256281
B05P24,outer_bark,B05P24BK,Y1617,1,0.486230618,0.794776119,0.604316547,0.055126178,0.659442724,0.753363229,0.041412891,0.794776119
B05P25,outer_bark,B05P25BK,Y1617,1,0.560140511,0.721461187,0.45045045,0.113835264,0.564285714,0.621118012,0.100343175,0.721461187
B05P26,outer_bark,B05P26BK,Y1617,1,0.464843411,0.805668016,0.454545455,0.220030817,0.674576271,0.625,0.180668016,0.805668016
B02P01,dead_bryos,B02P01DM,Y1517,2,0.991456187,0.932806324,0.711864407,0.162209667,0.874074074,0.831683168,0.101123156,0.932806324
B02P02,dead_bryos,B02P02DM,Y1517,2,0.84642897,0.898876404,0.689655172,0.126671358,0.816326531,0.816326531,0.082549874,0.898876404
B02P04,dead_bryos,B02P04DM,Y1517,2,0.965650954,0.92519685,0.552941176,0.307864684,0.860805861,0.712121212,0.213075638,0.92519685
B02P13,dead_bryos,B02P13DM,Y1517,2,0.972233243,0.946996466,0.840425532,0.058903327,0.899328859,0.913294798,0.033701669,0.946996466
B02P15,dead_bryos,B02P15DM,Y1517,2,0.832761854,0.927835052,0.686567164,0.178817451,0.865384615,0.814159292,0.11367576,0.927835052
B02P20,dead_bryos,B02P20DM,Y1517,2,0.501132906,0.841269841,0.712230216,0.013797181,0.726027397,0.831932773,0.009337068,0.841269841
B02P24,dead_bryos,B02P24DM,Y1517,2,0.623291707,0.852564103,0.553398058,0.189618702,0.74301676,0.7125,0.140064103,0.852564103
B02P25,dead_bryos,B02P25DM,Y1517,2,0.876618175,0.875152999,0.581967213,0.196052373,0.778019587,0.735751295,0.139401703,0.875152999
B02P26,dead_bryos,B02P26DM,Y1517,2,0.396701327,0.864674868,0.544378698,0.217231209,0.761609907,0.704980843,0.159694025,0.864674868
B03P01,dead_bryos,B03P01DM,Y1517,2,0.851670084,0.914046122,0.4875,0.354198842,0.841698842,0.655462185,0.258583937,0.914046122
B03P02,dead_bryos,B03P02DM,Y1517,2,0.841782792,0.871710526,0.743421053,0.0291737,0.772594752,0.852830189,0.018880338,0.871710526
B03P03,dead_bryos,B03P03DM,Y1517,2,0.76693035,0.897003745,0.604316547,0.208926238,0.813242784,0.753363229,0.143640517,0.897003745
B03P04,dead_bryos,B03P04DM,Y1517,2,0.969784824,0.930348259,0.861386139,0.008381303,0.869767442,0.925531915,0.004816344,0.930348259
B03P14,dead_bryos,B03P14DM,Y1517,2,0.886462833,0.882063882,0.743315508,0.045695481,0.789010989,0.852760736,0.029303146,0.882063882
B03P15,dead_bryos,B03P15DM,Y1517,2,0.783641864,0.889967638,0.540540541,0.261208731,0.801749271,0.701754386,0.188213252,0.889967638
B03P20,dead_bryos,B03P20DM,Y1517,2,0.985259338,0.964539007,0.863013699,0.068493151,0.931506849,0.926470588,0.038068419,0.964539007
B03P24,dead_bryos,B03P24DM,Y1517,2,0.777067936,0.860881543,0.718662953,0.037080699,0.755743652,0.8363047,0.024576843,0.860881543
B03P25,dead_bryos,B03P25DM,Y1517,2,0.734125548,0.882246377,0.507575758,0.281727322,0.789303079,0.673366834,0.208879543,0.882246377
B03P26,dead_bryos,B03P26DM,Y1517,2,0.757191924,0.803317536,0.567708333,0.103578795,0.671287129,0.724252492,0.079065044,0.803317536
B04P01,dead_bryos,B04P01DM,Y1517,2,0.853548988,0.917808219,0.830985915,0.01711535,0.848101266,0.907692308,0.010115911,0.917808219
B04P02,dead_bryos,B04P02DM,Y1517,2,0.77717723,0.870588235,0.755555556,0.015277778,0.770833333,0.860759494,0.009828742,0.870588235
B04P03,dead_bryos,B04P03DM,Y1517,2,0.873956688,0.920903955,0.794117647,0.059285494,0.853403141,0.885245902,0.035658053,0.920903955
B04P04,dead_bryos,B04P04DM,Y1517,2,0.749192308,0.888429752,0.58778626,0.211470246,0.799256506,0.740384615,0.148045137,0.888429752
B04P13,dead_bryos,B04P13DM,Y1517,2,0.678987708,0.932377049,0.67,0.203320537,0.873320537,0.80239521,0.12998184,0.932377049
B04P20,dead_bryos,B04P20DM,Y1517,2,0.522941429,0.946511628,0.505376344,0.393078402,0.898454746,0.671428571,0.275083056,0.946511628
B04P25,dead_bryos,B04P25DM,Y1517,2,0.945794012,0.931034483,0.681818182,0.18914956,0.870967742,0.810810811,0.120223672,0.931034483
B04P26,dead_bryos,B04P26DM,Y1517,2,0.389986407,0.857142857,0.693333333,0.056666667,0.75,0.818897638,0.038245219,0.857142857
B05P01,dead_bryos,B05P01DM,Y1517,2,0.976593093,0.943037975,0.82,0.072215569,0.892215569,0.901098901,0.041939074,0.943037975
B05P02,dead_bryos,B05P02DM,Y1517,2,0.842757726,0.915611814,0.56043956,0.283918416,0.844357977,0.718309859,0.197301955,0.915611814
B05P03,dead_bryos,B05P03DM,Y1517,2,0.947918205,0.929853181,0.650406504,0.218495935,0.868902439,0.78817734,0.141675841,0.929853181
B05P04,dead_bryos,B05P04DM,Y1517,2,0.838177356,0.904587156,0.440860215,0.38493543,0.825795645,0.611940299,0.292646857,0.904587156
B05P08,dead_bryos,B05P08DM,Y1517,2,0.84253429,0.877675841,0.666666667,0.115349682,0.782016349,0.8,0.077675841,0.877675841
B05P13,dead_bryos,B05P13DM,Y1517,2,0.643975286,0.883838384,0.651515152,0.140340052,0.791855204,0.788990826,0.094847558,0.883838384
B05P14,dead_bryos,B05P14DM,Y1517,2,0.684175471,0.885714286,0.457627119,0.337244676,0.794871795,0.627906977,0.257807309,0.885714286
B05P15,dead_bryos,B05P15DM,Y1517,2,0.820958929,0.874785592,0.474820144,0.302618881,0.777439024,0.643902439,0.230883153,0.874785592
B05P20,dead_bryos,B05P20DM,Y1517,2,0.601383697,0.903485255,0.663551402,0.160409478,0.82396088,0.797752809,0.105732446,0.903485255
B05P24,dead_bryos,B05P24DM,Y1517,2,0.693820141,0.933937824,0.463157895,0.412905289,0.876063183,0.633093525,0.300844299,0.933937824
B05P25,dead_bryos,B05P25DM,Y1517,2,0.705386266,0.955395683,0.456140351,0.4584602,0.914600551,0.626506024,0.328889659,0.955395683
B05P26,dead_bryos,B05P26DM,Y1517,2,0.479652796,0.889643463,0.458333333,0.342889908,0.801223242,0.628571429,0.261072035,0.889643463
B02P04,inner_bark,B02P04WD,Y1517,2,0.960418682,0.956989247,NA,NA,NA,NA,NA,NA
B02P13,inner_bark,B02P13WD,Y1517,2,0.998040496,0.95,NA,NA,NA,NA,NA,NA
B02P24,inner_bark,B02P24WD,Y1517,2,0.996804486,0.952830189,NA,NA,NA,NA,NA,NA
B05P02,inner_bark,B05P02WD,Y1517,2,0.998068255,0.9875,NA,NA,NA,NA,NA,NA
B05P03,inner_bark,B05P03WD,Y1517,2,0.922535211,0.913043478,NA,NA,NA,NA,NA,NA
B05P25,inner_bark,B05P25WD,Y1517,2,1,1,NA,NA,NA,NA,NA,NA
B02P01,live_bryos,B02P01LM,Y1517,2,0.980819019,0.948,0.729166667,0.171974018,0.901140684,0.843373494,0.104626506,0.948
B02P02,live_bryos,B02P02LM,Y1517,2,0.981396292,0.910280374,0.71257485,0.122759627,0.835334477,0.832167832,0.078112542,0.910280374
B02P03,live_bryos,B02P03LM,Y1517,2,0.993135579,0.956284153,0.905882353,0.010348014,0.916230366,0.950617284,0.005666869,0.956284153
