BP,substrate,BPS,years,temp.dist,BC.dist,jac.dist,beta.sim,beta.sne,beta.sor,beta.jtu,beta.jne,beta.jac
B03P25,live_bryos,B03P25LM,Y1517,2,0.981336591,0.972027972,0.4,0.545578231,0.945578231,0.571428571,0.400599401,0.972027972
B03P26,live_bryos,B03P26LM,Y1517,2,0.936425608,0.90521327,0.775280899,0.051558928,0.826839827,0.873417722,0.031795549,0.90521327
B03P27,live_bryos,B03P27LM,Y1517,2,0.993004347,0.93442623,0.857142857,0.01978022,0.876923077,0.923076923,0.011349306,0.93442623
B04P02,live_bryos,B04P02LM,Y1517,2,0.848687132,0.91372549,0.813559322,0.027595913,0.841155235,0.897196262,0.016529229,0.91372549
B04P04,live_bryos,B04P04LM,Y1517,2,0.928456304,0.947368421,0.685714286,0.214285714,0.9,0.813559322,0.133809099,0.947368421
B04P08,live_bryos,B04P08LM,Y1517,2,0.64110647,0.852842809,0.564356436,0.179083798,0.743440233,0.721518987,0.131323822,0.852842809
B04P13,live_bryos,B04P13LM,Y1517,2,0.860774324,0.81792183,0.582056893,0.109878591,0.691935484,0.73582296,0.08209887,0.81792183
B04P20,live_bryos,B04P20LM,Y1517,2,0.789472166,0.823977165,0.548780488,0.151866761,0.700647249,0.708661417,0.115315747,0.823977165
B04P25,live_bryos,B04P25LM,Y1517,2,0.935143652,0.849056604,0.704918033,0.032786885,0.737704918,0.826923077,0.022133527,0.849056604
B05P02,live_bryos,B05P02LM,Y1517,2,0.91216463,0.941176471,0.666666667,0.222222222,0.888888889,0.8,0.141176471,0.941176471
B05P03,live_bryos,B05P03LM,Y1517,2,0.989651731,0.971518987,0.808510638,0.136104746,0.944615385,0.894117647,0.07740134,0.971518987
B05P04,live_bryos,B05P04LM,Y1517,2,0.823638059,0.851086957,0.595870206,0.144905574,0.740775781,0.74676525,0.104321707,0.851086957
B05P08,live_bryos,B05P08LM,Y1517,2,0.898965149,0.922912206,0.643564356,0.21329449,0.856858847,0.78313253,0.139779675,0.922912206
B05P13,live_bryos,B05P13LM,Y1517,2,0.672216415,0.828046745,0.667741935,0.038810771,0.706552707,0.800773694,0.02727305,0.828046745
B05P14,live_bryos,B05P14LM,Y1517,2,0.979118125,0.936482085,0.458333333,0.422217968,0.880551302,0.628571429,0.307910656,0.936482085
B05P15,live_bryos,B05P15LM,Y1517,2,0.936081046,0.955555556,0.462686567,0.45220705,0.914893617,0.632653061,0.322902494,0.955555556
B05P24,live_bryos,B05P24LM,Y1517,2,0.728030978,0.860738255,0.732258065,0.023264763,0.755522828,0.845437616,0.015300639,0.860738255
B05P25,live_bryos,B05P25LM,Y1517,2,0.940730188,0.915229885,0.730593607,0.113115002,0.843708609,0.844327177,0.070902708,0.915229885
B05P26,live_bryos,B05P26LM,Y1517,2,0.911614422,0.865384615,0.681818182,0.080893683,0.762711864,0.810810811,0.054573805,0.865384615
B02P01,outer_bark,B02P01BK,Y1517,2,0.471929091,0.841584158,0.559633028,0.166862699,0.726495726,0.717647059,0.1239371,0.841584158
B02P02,outer_bark,B02P02BK,Y1517,2,0.872903444,0.896067416,0.660550459,0.151154376,0.811704835,0.79558011,0.100487305,0.896067416
B02P03,outer_bark,B02P03BK,Y1517,2,0.584299554,0.888311688,0.755681818,0.043383602,0.799065421,0.860841424,0.027470264,0.888311688
B02P04,outer_bark,B02P04BK,Y1517,2,0.662953898,0.829931973,0.6875,0.021802326,0.709302326,0.814814815,0.015117158,0.829931973
B02P08,outer_bark,B02P08BK,Y1517,2,0.732641001,0.895953757,0.345454545,0.466063779,0.811518325,0.513513514,0.382440244,0.895953757
B02P13,outer_bark,B02P13BK,Y1517,2,0.679285985,0.78968254,0.620071685,0.032387332,0.652459016,0.765486726,0.024195814,0.78968254
B02P14,outer_bark,B02P14BK,Y1517,2,0.793473173,0.827411168,0.643356643,0.062271062,0.705627706,0.782978723,0.044432444,0.827411168
B02P15,outer_bark,B02P15BK,Y1517,2,0.784669165,0.851963746,0.701219512,0.040885751,0.742105263,0.82437276,0.027590986,0.851963746
B02P20,outer_bark,B02P20BK,Y1517,2,0.730265292,0.817813765,0.510869565,0.180911257,0.691780822,0.676258993,0.141554772,0.817813765
B02P24,outer_bark,B02P24BK,Y1517,2,0.790717819,0.897435897,0.783783784,0.030169705,0.813953488,0.878787879,0.018648019,0.897435897
B02P25,outer_bark,B02P25BK,Y1517,2,0.792787045,0.838345865,0.669230769,0.052452079,0.721682848,0.801843318,0.036502547,0.838345865
B02P26,outer_bark,B02P26BK,Y1517,2,0.923813189,0.8375,0.709497207,0.010932901,0.720430108,0.830065359,0.007434641,0.8375
B02P27,outer_bark,B02P27BK,Y1517,2,0.671310298,0.811623246,0.669014085,0.013953875,0.68296796,0.801687764,0.009935483,0.811623246
B03P01,outer_bark,B03P01BK,Y1517,2,0.566977231,0.793650794,0.560810811,0.097083926,0.657894737,0.718614719,0.075036075,0.793650794
B03P02,outer_bark,B03P02BK,Y1517,2,0.857436317,0.856115108,0.56043956,0.187988113,0.748427673,0.718309859,0.137805249,0.856115108
B03P03,outer_bark,B03P03BK,Y1517,2,0.774084946,0.853896104,0.693877551,0.051164942,0.745042493,0.819277108,0.034618995,0.853896104
B03P04,outer_bark,B03P04BK,Y1517,2,0.846868211,0.852941176,0.6875,0.056089744,0.743589744,0.814814815,0.038126362,0.852941176
B03P08,outer_bark,B03P08BK,Y1517,2,0.859739048,0.83090379,0.532258065,0.178465128,0.710723192,0.694736842,0.136166948,0.83090379
B03P13,outer_bark,B03P13BK,Y1517,2,0.836353253,0.917355372,0.770114943,0.077213302,0.847328244,0.87012987,0.047225502,0.917355372
B03P14,outer_bark,B03P14BK,Y1517,2,0.860017218,0.801699717,0.625668449,0.043362284,0.669030733,0.769736842,0.031962875,0.801699717
B03P15,outer_bark,B03P15BK,Y1517,2,0.639936203,0.85106383,0.616438356,0.124302385,0.740740741,0.762711864,0.088351965,0.85106383
B03P20,outer_bark,B03P20BK,Y1517,2,0.686527153,0.864951768,0.655737705,0.106301955,0.76203966,0.792079208,0.072872561,0.864951768
B03P24,outer_bark,B03P24BK,Y1517,2,0.842238439,0.887445887,0.765765766,0.031899604,0.79766537,0.867346939,0.020098949,0.887445887
B03P25,outer_bark,B03P25BK,Y1517,2,0.784109172,0.841666667,0.720588235,0.00603047,0.726618705,0.837606838,0.004059829,0.841666667
B03P26,outer_bark,B03P26BK,Y1517,2,0.815739945,0.791666667,0.526315789,0.128856624,0.655172414,0.689655172,0.102011494,0.791666667
B03P27,outer_bark,B03P27BK,Y1517,2,0.732478434,0.902527076,0.4,0.422368421,0.822368421,0.571428571,0.331098504,0.902527076
B04P01,outer_bark,B04P01BK,Y1517,2,0.402580694,0.846715328,0.391304348,0.342872867,0.734177215,0.5625,0.284215328,0.846715328
B04P02,outer_bark,B04P02BK,Y1517,2,0.792554765,0.818181818,0.661016949,0.031290743,0.692307692,0.795918367,0.022263451,0.818181818
B04P04,outer_bark,B04P04BK,Y1517,2,0.553023039,0.83127572,0.596059113,0.115208492,0.711267606,0.74691358,0.08436214,0.83127572
B04P08,outer_bark,B04P08BK,Y1517,2,0.762416521,0.879464286,0.64,0.144860558,0.784860558,0.780487805,0.098976481,0.879464286
B04P14,outer_bark,B04P14BK,Y1517,2,0.358671085,0.810679612,0.632075472,0.049557181,0.681632653,0.774566474,0.036113138,0.810679612
B04P15,outer_bark,B04P15BK,Y1517,2,0.663376667,0.861878453,0.652777778,0.104503776,0.757281553,0.789915966,0.071962487,0.861878453
B04P20,outer_bark,B04P20BK,Y1517,2,0.628892088,0.86036036,0.741666667,0.013274045,0.754940711,0.851674641,0.008685719,0.86036036
B04P24,outer_bark,B04P24BK,Y1517,2,0.59144262,0.85,0.727272727,0.011857708,0.739130435,0.842105263,0.007894737,0.85
B04P25,outer_bark,B04P25BK,Y1517,2,0.710519173,0.792929293,0.613207547,0.043696219,0.656903766,0.760233918,0.032695375,0.792929293
B04P26,outer_bark,B04P26BK,Y1517,2,0.881638435,0.839662447,0.595744681,0.127891683,0.723636364,0.746666667,0.092995781,0.839662447
B05P01,outer_bark,B05P01BK,Y1517,2,0.678631933,0.804761905,0.661157025,0.012149748,0.673306773,0.7960199,0.008742004,0.804761905
B05P02,outer_bark,B05P02BK,Y1517,2,0.74439521,0.823076923,0.673758865,0.02558754,0.699346405,0.805084746,0.017992177,0.823076923
B05P03,outer_bark,B05P03BK,Y1517,2,0.751857693,0.855072464,0.663865546,0.082969897,0.746835443,0.797979798,0.057092666,0.855072464
B05P04,outer_bark,B05P04BK,Y1517,2,0.663633124,0.800675676,0.666666667,0.000938967,0.667605634,0.8,0.000675676,0.800675676
B05P08,outer_bark,B05P08BK,Y1517,2,0.999671944,0.943396226,0.869565217,0.023291925,0.892857143,0.930232558,0.013163668,0.943396226
B05P13,outer_bark,B05P13BK,Y1517,2,0.864045129,0.88,0.678571429,0.107142857,0.785714286,0.808510638,0.071489362,0.88
B05P14,outer_bark,B05P14BK,Y1517,2,0.743702936,0.740566038,0.421052632,0.16696235,0.588014981,0.592592593,0.147973445,0.740566038
B05P15,outer_bark,B05P15BK,Y1517,2,0.562481553,0.801749271,0.626373626,0.04272613,0.669099757,0.77027027,0.031479001,0.801749271
B05P20,outer_bark,B05P20BK,Y1517,2,0.815028386,0.839160839,0.54,0.182891566,0.722891566,0.701298701,0.137862138,0.839160839
B05P24,outer_bark,B05P24BK,Y1517,2,0.769888043,0.834285714,0.553846154,0.161840121,0.715686275,0.712871287,0.121414427,0.834285714
B05P25,outer_bark,B05P25BK,Y1517,2,0.565204417,0.785365854,0.603603604,0.042982742,0.646586345,0.752808989,0.032556865,0.785365854
B05P26,outer_bark,B05P26BK,Y1517,2,0.504121846,0.803921569,0.545454545,0.126676602,0.672131148,0.705882353,0.098039216,0.803921569
